Order,Best_source,Det_to_species,Doug_to_check,Human_alternative,Human_comment,Alien,Original,Official,Synonym,TNRS_Name_submitted,TNRS_Name_matched,TNRS_Author_matched,TNRS_Overall_score,TNRS_Taxonomic_status,TNRS_Accepted_name,TNRS_Accepted_author,TNRS_Accepted_family,TNRS_Source,TNRS_Warnings,TNRS_Accepted_name_lsid
1019,Human_alternative,1,,Wachendorfia paniculata,,,Lachendorphia paniculata,0,0,Lachendorphia paniculata,No suitable matches found.,,0,,,,,, ,
1074,Human_alternative,1,,Anaxeton laeve,,,Lexaton levi,0,0,Lexaton levi,No suitable matches found.,,0,,,,,, ,
1078,Human_alternative,1,,Lichtensteinia lacera,,,Lichthente lacera,0,0,Lichthente lacera,No suitable matches found.,,0,,,,,, ,
1117,Human_alternative,1,1,Bolusafra bituminosa,Bolusafra bituminosa?,,Lolusatra murticulosa,0,0,Lolusatra murticulosa,No suitable matches found.,,0,,,,,, ,
1162,Original,0,,,,,Mesemb sp1,0,0,Mesemb sp1,No suitable matches found.,,0,,,,,, ,
1163,Original,0,,,,,Mesemb sp2,0,0,Mesemb sp2,No suitable matches found.,,0,,,,,, ,
1164,Original,0,,,,,Mesemb sp3,0,0,Mesemb sp3,No suitable matches found.,,0,,,,,, ,
1165,Original,0,,,,,Mesemb sp4,0,0,Mesemb sp4,No suitable matches found.,,0,,,,,, ,
1166,Original,0,,,,,Mesemb sp5,0,0,Mesemb sp5,No suitable matches found.,,0,,,,,, ,
1167,Original,0,,,,,Mesemb spp,0,0,Mesemb spp,No suitable matches found.,,0,,,,,, ,
1168,Original,0,,,,,Mesemb spp1,0,0,Mesemb spp1,No suitable matches found.,,0,,,,,, ,
1169,Original,0,,,,,Mesemb spp2,0,0,Mesemb spp2,No suitable matches found.,,0,,,,,, ,
1170,Original,0,,,,,Mesemb spp3,0,0,Mesemb spp3,No suitable matches found.,,0,,,,,, ,
1171,Original,0,,,,,Mesemb spp4,0,0,Mesemb spp4,No suitable matches found.,,0,,,,,, ,
1172,Original,0,,,,,Mesemb spp5,0,0,Mesemb spp5,No suitable matches found.,,0,,,,,, ,
1243,Human_alternative,0,,Muraltia sp1,Muraltia?,,Mulraltea sp1,0,0,Mulraltea sp1,No suitable matches found.,,0,,,,,, ,
1244,Human_alternative,0,,Muraltia sp2,Muraltia? No vanbergii?,,Mulraltea vanbergii,0,0,Mulraltea vanbergii,No suitable matches found.,,0,,,,,, ,
1287,Human_alternative,0,,Nemesia sp1,,,Nemesia spp. 2,0,0,Nemesia spp. 2,No suitable matches found.,,0,,,,,, ,
1319,Human_alternative,1,1,Osteospermum polygaloides,?,,Osteopurnum polygon,0,0,Osteopurnum polygon,No suitable matches found.,,0,,,,,, ,
1375,Original,0,,,,,oxalis spp 2,0,0,oxalis spp 2,No suitable matches found.,,0,,,,,, ,
1380,Human_alternative,1,,Cannomois virgata,,,Panamosis virgata,0,0,Panamosis virgata,No suitable matches found.,,0,,,,,, ,
1418,Original,0,,,,,Pelargonium spp 2,0,0,Pelargonium spp 2,No suitable matches found.,,0,,,,,, ,
1607,Human_alternative,1,,Pseudoselago spuria,,,Pspedo selago spurria,0,0,Pspedo selago spurria,No suitable matches found.,,0,,,,,, ,
1787,Human_alternative,1,,Pseudopentameris macrantha,,,Speudopentamerus mecrantha,0,0,Speudopentamerus mecrantha,No suitable matches found.,,0,,,,,, ,
1790,Human_alternative,1,,Pseudoselago spuria,,,Spoedoselago spuria,0,0,Spoedoselago spuria,No suitable matches found.,,0,,,,,, ,
1791,Human_alternative,0,,Pseudoselago,,,Spoedoselagus??,0,0,Spoedoselagus??,No suitable matches found.,,0,,,,,, ,
1868,Human_alternative,1,,Pterocelastrus tricuspidatus,,,Terroselastrus tricostidatus,0,0,Terroselastrus tricostidatus,No suitable matches found.,,0,,,,,, ,
1996,Human_alternative,1,,Tetraria sylvatica,,,Tretrerius sylvaticum,0,0,Tretrerius sylvaticum,No suitable matches found.,,0,,,,,, ,
1997,Human_alternative,1,,Tetraria sylvatica,,,Tretrerria salvatica,0,0,Tretrerria salvatica,No suitable matches found.,,0,,,,,, ,
2008,Human_alternative,1,,Ifloga ambigua,,,Tricogeini ambigua,0,0,Tricogeini ambigua,No suitable matches found.,,0,,,,,, ,
2040,Original,0,,,,,Unknown sp1,0,0,Unknown sp1,No suitable matches found.,,0,,,,,, ,
2041,Original,0,,,,,Unknown spp,0,0,Unknown spp,No suitable matches found.,,0,,,,,, ,
2042,Original,0,,,,,Unknown spp1,0,0,Unknown spp1,No suitable matches found.,,0,,,,,, ,
2062,Original,0,,,,,Vygie 2007/,0,0,Vygie 2007/,No suitable matches found.,,0,,,,,, ,
2063,Original,0,,,,,vygie sp,0,0,vygie sp,No suitable matches found.,,0,,,,,, ,
2064,Original,0,,,,,Vygie sp,0,0,Vygie sp,No suitable matches found.,,0,,,,,, ,
2065,Original,0,,,,,Vygie sp 2007/181,0,0,Vygie sp 2007/181,No suitable matches found.,,0,,,,,, ,
2066,Original,0,,,,,Vygie sp 2007/401,0,0,Vygie sp 2007/401,No suitable matches found.,,0,,,,,, ,
2096,Original,0,,,,,weed,0,0,weed,No suitable matches found.,,0,,,,,, ,
2097,Original,0,,,,,Weed,0,0,Weed,No suitable matches found.,,0,,,,,, ,
1957,Original,0,,,,,Thin round sedge 2007/347,0,0,Thin round sedge 2007/347,Tahina,,0.07,Accepted,Tahina,,Arecaceae,tpl, [Partial match] ,
1978,Original,0,,,,,Trachyandra sp flat leaf hairy rosette,0,0,Trachyandra sp flat leaf hairy rosette,Trachyandra,,0.13,Accepted,Trachyandra,,Xanthorrhoeaceae,tpl, [Partial match] ,
2099,Original,0,,,,,Wide leaf sedge 2007/243,0,0,Wide leaf sedge 2007/243,Side,,0.13,No opinion,,,,tpl, [Partial match] ,
222,Original,0,,,,,Bulb leafy orchid,0,0,Bulb leafy orchid,Bulga,,0.14,No opinion,,,,tpl, [Partial match] ,
824,Original,0,,,,,Grass cyp 2007/362,0,0,Grass cyp 2007/362,Grias,,0.24,Accepted,Grias,,Lecythidaceae,tpl, [Partial match] ,
1045,Original,0,,,,,Leafy orchid spp.,0,0,Leafy orchid spp.,Leaoa,,0.24,No opinion,,,,tpl, [Partial match] ,
1143,Human_alternative,0,,Merx tall (2007/410),,,Merx  tall (2007/410),0,0,Merx  tall (2007/410),Murex,,0.24,No opinion,,,,tpl, [Partial match] ,
1144,Original,0,,,,,Merx tall (2007/410),0,0,Merx tall (2007/410),Murex,,0.24,No opinion,,,,tpl, [Partial match] ,
702,Original,0,,,,,Exotic weed 2007/183,0,0,Exotic weed 2007/183,Exomis,,0.3,Accepted,Exomis,,Amaranthaceae,tpl;usda, [Partial match] ,
1263,Human_alternative,0,,Muraltia sp3,,,Muraltia sp lime green (4935),0,0,Muraltia sp lime green (4935),Muraltia,,0.3,Accepted,Muraltia,,Polygalaceae,tpl, [Partial match] ,
