Order,Best_source,Det_to_species,Doug_to_check,Human_alternative,Human_comment,Alien,Original,Official,Synonym,TNRS_Name_submitted,TNRS_Name_matched,TNRS_Author_matched,TNRS_Overall_score,TNRS_Taxonomic_status,TNRS_Accepted_name,TNRS_Accepted_author,TNRS_Accepted_family,TNRS_Source,TNRS_Warnings,TNRS_Accepted_name_lsid
1084,TNRS_Accepted_name,,,,,,Linum spp,0,0,Linum spp,Linum,,0.9,Accepted,Linum,,Linaceae,tpl, ,
1088,TNRS_Accepted_name,,,,,,Liparia spp,0,0,Liparia spp,Liparia,,0.9,Accepted,Liparia,,Fabaceae,tpl, ,
1103,Original,,1,,,,Lobelia sp 2007/160,0,0,Lobelia sp 2007/160,Lobelia,,0.9,Accepted,Lobelia,,Campanulaceae,tpl, ,
1104,TNRS_Accepted_name,,,,,,Lobelia sp2,0,0,Lobelia sp2,Lobelia,,0.9,Accepted,Lobelia,,Campanulaceae,tpl, ,
1105,TNRS_Accepted_name,,,,,,Lobelia spp,0,0,Lobelia spp,Lobelia,,0.9,Accepted,Lobelia,,Campanulaceae,tpl, ,
1108,TNRS_Accepted_name,,,,,,Lobostemon montanus (dead),0,0,Lobostemon montanus (dead),Lobostemon montanus,,0.9,Accepted,Lobostemon montanus,H.Buek,Boraginaceae,tpl, ,
1109,TNRS_Accepted_name,,,,,,Lobostemon spp,0,0,Lobostemon spp,Lobostemon,,0.9,Accepted,Lobostemon,,Boraginaceae,tpl, ,
1116,TNRS_Accepted_name,,,,,,Lolium spp,0,0,Lolium spp,Lolium,,0.9,Accepted,Lolium,,Poaceae,tpl;usda, ,
1126,TNRS_Accepted_name,,,,,,Macrostylis villosa ssp. Villosa,0,0,Macrostylis villosa ssp. Villosa,Macrostylis villosa,,0.9,Accepted,Macrostylis villosa,Sond.,Rutaceae,tpl, ,
1136,TNRS_Accepted_name,,,,,,Mastersiella digitata (dead),0,0,Mastersiella digitata (dead),Mastersiella digitata,,0.9,Accepted,Mastersiella digitata,(Thunb.) Gilg-Ben.,Restionaceae,tpl;tropicos, ,
1173,Human_alternative,,,Metalasia compacta,,,Metalaisa compacta,0,0,Metalaisa compacta,Metcalfia compacta,,0.9,Accepted,Metcalfia compacta,(Boiss. & Heldr.) Clayton,Poaceae,tpl;tropicos, ,
1179,TNRS_Accepted_name,,,,,,Metalasia densa (alive),0,0,Metalasia densa (alive),Metalasia densa,,0.9,Accepted,Metalasia densa,(Lam.) P.O.Karis,Asteraceae,gcc, ,urn:lsid:compositae.org:names:3A6B8EB4-A0EE-431B-8A1B-EBEC4F9F4637
1180,TNRS_Accepted_name,,,,,,Metalasia densa (dead),0,0,Metalasia densa (dead),Metalasia densa,,0.9,Accepted,Metalasia densa,(Lam.) P.O.Karis,Asteraceae,gcc, ,urn:lsid:compositae.org:names:3A6B8EB4-A0EE-431B-8A1B-EBEC4F9F4637
1185,TNRS_Accepted_name,,,,,,Metalasia muricata (lg),0,0,Metalasia muricata (lg),Metalasia muricata,,0.9,Accepted,Metalasia muricata,(L.) D.Don,Asteraceae,gcc, ,urn:lsid:compositae.org:names:91F0ADFF-C8C1-4E5E-B3CE-12AB84D31226
1187,TNRS_Accepted_name,,,,,,Metalasia sp,0,0,Metalasia sp,Metalasia,,0.9,Accepted,Metalasia,,Asteraceae,tpl, ,
1188,TNRS_Accepted_name,,,,,,Metalasia spp,0,0,Metalasia spp,Metalasia,,0.9,Accepted,Metalasia,,Asteraceae,tpl, ,
1194,TNRS_Accepted_name,,,,,,Microcodon spp.,0,0,Microcodon spp.,Microcodon,,0.9,Accepted,Microcodon,,Campanulaceae,tpl, ,
1196,TNRS_Accepted_name,,,,,,Microdon dubia,0,0,Microdon dubia,Microdon dubius,,0.9,Accepted,Microdon dubius,(L.) Hilliard,Scrophulariaceae,tpl;tropicos, ,
1202,TNRS_Accepted_name,,,,,,Microdon spp,0,0,Microdon spp,Microdon,,0.9,Accepted,Microdon,,Scrophulariaceae,tpl, ,
1213,TNRS_Accepted_name,,,,,,Monopsis spp,0,0,Monopsis spp,Monopsis,,0.9,Accepted,Monopsis,,Campanulaceae,tpl, ,
1225,TNRS_Accepted_name,,,,,,Moraea sp,0,0,Moraea sp,Moraea,,0.9,Accepted,Moraea,,Iridaceae,tpl;usda, ,
1226,TNRS_Accepted_name,,,,,,Moraea spp,0,0,Moraea spp,Moraea,,0.9,Accepted,Moraea,,Iridaceae,tpl;usda, ,
1231,TNRS_Accepted_name,,,,,,Morea hexaglotus,0,0,Morea hexaglotus,Moraea hexaglottis,,0.9,Accepted,Moraea hexaglottis,Goldblatt,Iridaceae,tpl;tropicos, ,
1240,TNRS_Accepted_name,,,,,,Morella spp,0,0,Morella spp,Morella,,0.9,Accepted,Morella,,Myricaceae,tpl;usda, ,
1248,TNRS_Accepted_name,,,,,,Muraltia  sp (lime green),0,0,Muraltia  sp (lime green),Muraltia,,0.9,Accepted,Muraltia,,Polygalaceae,tpl, ,
1259,TNRS_Accepted_name,,,,,,Muraltia sp,0,0,Muraltia sp,Muraltia,,0.9,Accepted,Muraltia,,Polygalaceae,tpl, ,
1260,TNRS_Accepted_name,,,,,,Muraltia sp (resprouter),0,0,Muraltia sp (resprouter),Muraltia,,0.9,Accepted,Muraltia,,Polygalaceae,tpl, ,
1261,Original,,1,,,,Muraltia sp 2007/138,0,0,Muraltia sp 2007/138,Muraltia,,0.9,Accepted,Muraltia,,Polygalaceae,tpl, ,
1262,Original,,1,,,,Muraltia sp 2007/218,0,0,Muraltia sp 2007/218,Muraltia,,0.9,Accepted,Muraltia,,Polygalaceae,tpl, ,
1264,TNRS_Accepted_name,,,,,,Muraltia sp.1,0,0,Muraltia sp.1,Muraltia,,0.9,Accepted,Muraltia,,Polygalaceae,tpl, ,
1265,TNRS_Accepted_name,,,,,,Muraltia sp1,0,0,Muraltia sp1,Muraltia,,0.9,Accepted,Muraltia,,Polygalaceae,tpl, ,
1266,TNRS_Accepted_name,,,,,,Muraltia spp,0,0,Muraltia spp,Muraltia,,0.9,Accepted,Muraltia,,Polygalaceae,tpl, ,
1284,TNRS_Accepted_name,,,,,,Nemesia sp,0,0,Nemesia sp,Nemesia,,0.9,Accepted,Nemesia,,Scrophulariaceae,tpl;usda, ,
1285,TNRS_Accepted_name,,,,,,Nemesia sp2,0,0,Nemesia sp2,Nemesia,,0.9,Accepted,Nemesia,,Scrophulariaceae,tpl;usda, ,
1286,TNRS_Accepted_name,,,,,,Nemesia spp,0,0,Nemesia spp,Nemesia,,0.9,Accepted,Nemesia,,Scrophulariaceae,tpl;usda, ,
1298,TNRS_Accepted_name,,,,,,Olea europaea ssp. Africana,0,0,Olea europaea ssp. Africana,Olea europaea,,0.9,Accepted,Olea europaea,L.,Oleaceae,tpl;tropicos;usda, ,
1311,TNRS_Accepted_name,,,,,,Ornithogalum sp,0,0,Ornithogalum sp,Ornithogalum,,0.9,Accepted,Ornithogalum,,Asparagaceae,tpl, ,
1312,TNRS_Accepted_name,,,,,,Ornithogalum spp,0,0,Ornithogalum spp,Ornithogalum,,0.9,Accepted,Ornithogalum,,Asparagaceae,tpl, ,
1340,TNRS_Accepted_name,,,,,,Othonna spp,0,0,Othonna spp,Othonna,,0.9,Accepted,Othonna,L.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:A7577C40-718F-48BF-8E5A-ADF9D3085CD3
1353,TNRS_Accepted_name,,,,,,oxalis sp,0,0,oxalis sp,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1354,TNRS_Accepted_name,,,,,,Oxalis sp,0,0,Oxalis sp,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1355,TNRS_Accepted_name,,,,,,oxalis sp 1,0,0,oxalis sp 1,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1356,TNRS_Accepted_name,,,,,,Oxalis sp 1,0,0,Oxalis sp 1,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1357,TNRS_Accepted_name,,,,,,Oxalis sp 2,0,0,Oxalis sp 2,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1358,TNRS_Accepted_name,,,,,,Oxalis sp 2 thin leaf,0,0,Oxalis sp 2 thin leaf,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1359,Original,,1,,,,Oxalis sp 2007/63,0,0,Oxalis sp 2007/63,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1360,TNRS_Accepted_name,,,,,,Oxalis sp 3,0,0,Oxalis sp 3,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1361,TNRS_Accepted_name,,,,,,Oxalis sp 4,0,0,Oxalis sp 4,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1362,TNRS_Accepted_name,,,,,,Oxalis sp 5,0,0,Oxalis sp 5,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1364,TNRS_Accepted_name,,,,,,oxalis sp.,0,0,oxalis sp.,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1365,TNRS_Accepted_name,,,,,,Oxalis sp.,0,0,Oxalis sp.,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1366,TNRS_Accepted_name,,,,,,Oxalis sp. 3,0,0,Oxalis sp. 3,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1367,TNRS_Accepted_name,,,,,,Oxalis sp. 4,0,0,Oxalis sp. 4,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1368,TNRS_Accepted_name,,,,,,oxalis sp1,0,0,oxalis sp1,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1369,TNRS_Accepted_name,,,,,,Oxalis sp1,0,0,Oxalis sp1,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1370,TNRS_Accepted_name,,,,,,Oxalis sp2,0,0,Oxalis sp2,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1371,TNRS_Accepted_name,,,,,,oxalis sp4,0,0,oxalis sp4,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1372,TNRS_Accepted_name,,,,,,Oxalis sp4,0,0,Oxalis sp4,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1373,TNRS_Accepted_name,,,,,,Oxalis sp5,0,0,Oxalis sp5,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1374,TNRS_Accepted_name,,,,,,Oxalis spp,0,0,Oxalis spp,Oxalis,,0.9,Accepted,Oxalis,,Oxalidaceae,tpl, ,
1386,TNRS_Accepted_name,,,,,,Passerina paleacea (dead),0,0,Passerina paleacea (dead),Passerina paleacea,,0.9,Accepted,Passerina paleacea,Wikstr.,Thymelaeaceae,tpl;tropicos, ,
1389,TNRS_Accepted_name,,,,,,Passerina spp,0,0,Passerina spp,Passerina,,0.9,Accepted,Passerina,,Thymelaeaceae,tpl, ,
1414,TNRS_Accepted_name,,,,,,Pelargonium sp,0,0,Pelargonium sp,Pelargonium,,0.9,Accepted,Pelargonium,,Geraniaceae,tpl;usda, ,
1415,TNRS_Accepted_name,,,,,,Pelargonium sp (ground),0,0,Pelargonium sp (ground),Pelargonium,,0.9,Accepted,Pelargonium,,Geraniaceae,tpl;usda, ,
1416,TNRS_Accepted_name,,,,,,Pelargonium sp2,0,0,Pelargonium sp2,Pelargonium,,0.9,Accepted,Pelargonium,,Geraniaceae,tpl;usda, ,
1417,TNRS_Accepted_name,,,,,,Pelargonium spp,0,0,Pelargonium spp,Pelargonium,,0.9,Accepted,Pelargonium,,Geraniaceae,tpl;usda, ,
1423,TNRS_Accepted_name,,,,,,Pellaea sp,0,0,Pellaea sp,Pellaea,,0.9,Accepted,Pellaea,,Pteridaceae,tpl, ,
1438,TNRS_Accepted_name,,,,,,Pentameris  sp,0,0,Pentameris  sp,Pentameris,,0.9,Accepted,Pentameris,,Poaceae,tpl, ,
1439,TNRS_Accepted_name,,,,,,Pentameris (tiny blom),0,0,Pentameris (tiny blom),Pentameris,,0.9,Accepted,Pentameris,,Poaceae,tpl, ,
1450,TNRS_Accepted_name,,,,,,Pentameris sp,0,0,Pentameris sp,Pentameris,,0.9,Accepted,Pentameris,,Poaceae,tpl, ,
1468,TNRS_Accepted_name,,,,,,Pentaschistis spp,0,0,Pentaschistis spp,Pentaschistis,,0.9,Accepted,Pentaschistis,,Poaceae,tpl, ,
1493,TNRS_Accepted_name,,,,,,Peucedanum spp,0,0,Peucedanum spp,Peucedanum,,0.9,Accepted,Peucedanum,,Apiaceae,tpl;usda, ,
1494,TNRS_Accepted_name,,,,,,Peucedanum spp.,0,0,Peucedanum spp.,Peucedanum,,0.9,Accepted,Peucedanum,,Apiaceae,tpl;usda, ,
1500,TNRS_Accepted_name,,,,,,Pharnaleum linearis,0,0,Pharnaleum linearis,Pharnaceum lineare,,0.9,Accepted,Pharnaceum lineare,L. f.,Molluginaceae,tpl;tropicos, ,
1507,TNRS_Accepted_name,,,,,,Phylica ericoides (dead),0,0,Phylica ericoides (dead),Phylica ericoides,,0.9,Accepted,Phylica ericoides,L.,Rhamnaceae,tpl;tropicos, ,
1514,TNRS_Accepted_name,,,,,,Phylica sp,0,0,Phylica sp,Phylica,,0.9,Accepted,Phylica,,Rhamnaceae,tpl, ,
1515,TNRS_Accepted_name,,,,,,Phylica sp 1,0,0,Phylica sp 1,Phylica,,0.9,Accepted,Phylica,,Rhamnaceae,tpl, ,
1516,TNRS_Accepted_name,,,,,,Phylica sp1,0,0,Phylica sp1,Phylica,,0.9,Accepted,Phylica,,Rhamnaceae,tpl, ,
1517,TNRS_Accepted_name,,,,,,Phylica spp,0,0,Phylica spp,Phylica,,0.9,Accepted,Phylica,,Rhamnaceae,tpl, ,
1519,TNRS_Accepted_name,,,,,,Phyllopodium spp,0,0,Phyllopodium spp,Phyllopodium,,0.9,Accepted,Phyllopodium,,Scrophulariaceae,tpl, ,
1523,TNRS_Accepted_name,,,,,,Phytolacca spp,0,0,Phytolacca spp,Phytolacca,,0.9,Accepted,Phytolacca,,Phytolaccaceae,tpl, ,
1530,TNRS_Accepted_name,,,,,,Pinus sp,0,0,Pinus sp,Pinus,,0.9,Accepted,Pinus,,Pinaceae,tpl, ,
1531,TNRS_Accepted_name,,,,,,Pinus spp,0,0,Pinus spp,Pinus,,0.9,Accepted,Pinus,,Pinaceae,tpl, ,
1538,Original,,1,,,,Platycaulos sp 2007/368,0,0,Platycaulos sp 2007/368,Platycaulos,,0.9,Accepted,Platycaulos,,Restionaceae,tpl, ,
1542,TNRS_Accepted_name,,,,,,Poaceae01,0,0,Poaceae01,Poaceae,,0.9,Accepted,Poaceae,,,tpl;usda, ,
1543,TNRS_Accepted_name,,,,,,Poaceae02,0,0,Poaceae02,Poaceae,,0.9,Accepted,Poaceae,,,tpl;usda, ,
1560,TNRS_Accepted_name,,,,,,Polygala spp,0,0,Polygala spp,Polygala,,0.9,Accepted,Polygala,,Polygalaceae,tpl, ,
1584,TNRS_Accepted_name,,,,,,Protea spp,0,0,Protea spp,Protea,,0.9,Accepted,Protea,,Proteaceae,tpl;usda, ,
1585,TNRS_Accepted_name,,,,,,Protea spp.,0,0,Protea spp.,Protea,,0.9,Accepted,Protea,,Proteaceae,tpl;usda, ,
1597,TNRS_Accepted_name,,,,,,Psoedoselago sparia,0,0,Psoedoselago sparia,Pseudoselago spuria,,0.9,Accepted,Pseudoselago spuria,(L.) Hilliard,Scrophulariaceae,tpl;tropicos, ,
1610,TNRS_Accepted_name,,,,,,Pteridium aquilinum ssp. Aquilinum,0,0,Pteridium aquilinum ssp. Aquilinum,Pteridium aquilinum,,0.9,Accepted,Pteridium aquilinum,(L.) Kuhn,Dennstaedtiaceae,tpl;tropicos;usda, ,
1636,TNRS_Accepted_name,,,,,,Restio perplexus (28.3),0,0,Restio perplexus (28.3),Restio perplexus,,0.9,Accepted,Restio perplexus,Kunth,Restionaceae,tpl;tropicos, ,
1639,TNRS_Accepted_name,,,,,,Restio sp,0,0,Restio sp,Restio,,0.9,Accepted,Restio,,Restionaceae,tpl, ,
1640,Original,,1,,,,Restio sp  2007/86,0,0,Restio sp  2007/86,Restio,,0.9,Accepted,Restio,,Restionaceae,tpl, ,
1641,TNRS_Accepted_name,,,,,,Restio sp (same 35),0,0,Restio sp (same 35),Restio,,0.9,Accepted,Restio,,Restionaceae,tpl, ,
1642,Original,,1,,,,Restio sp 2007/236,0,0,Restio sp 2007/236,Restio,,0.9,Accepted,Restio,,Restionaceae,tpl, ,
1643,Original,,1,,,,Restio sp 2007/369,0,0,Restio sp 2007/369,Restio,,0.9,Accepted,Restio,,Restionaceae,tpl, ,
1644,Original,,1,,,,Restio sp 2007/408,0,0,Restio sp 2007/408,Restio,,0.9,Accepted,Restio,,Restionaceae,tpl, ,
1650,TNRS_Accepted_name,,,,,,Rhoicissus spp,0,0,Rhoicissus spp,Rhoicissus,,0.9,Accepted,Rhoicissus,,Vitaceae,tpl, ,
1672,TNRS_Accepted_name,,,,,,Roella sp,0,0,Roella sp,Roella,,0.9,Accepted,Roella,,Campanulaceae,tpl, ,
1673,TNRS_Accepted_name,,,,,,Roella sp1,0,0,Roella sp1,Roella,,0.9,Accepted,Roella,,Campanulaceae,tpl, ,
1674,TNRS_Accepted_name,,,,,,Roella sp2,0,0,Roella sp2,Roella,,0.9,Accepted,Roella,,Campanulaceae,tpl, ,
1675,TNRS_Accepted_name,,,,,,Roella spp,0,0,Roella spp,Roella,,0.9,Accepted,Roella,,Campanulaceae,tpl, ,
1676,TNRS_Accepted_name,,,,,,Roella spp1,0,0,Roella spp1,Roella,,0.9,Accepted,Roella,,Campanulaceae,tpl, ,
1681,TNRS_Accepted_name,,,,,,Romulea spp,0,0,Romulea spp,Romulea,,0.9,Accepted,Romulea,,Iridaceae,tpl, ,
1682,TNRS_Accepted_name,,,,,,Romulya plava,0,0,Romulya plava,Romulea flava,,0.9,Accepted,Romulea flava,(Lam.) M.P.de Vos,Iridaceae,tpl, ,
1683,TNRS_Accepted_name,,,,,,Rubus spp,0,0,Rubus spp,Rubus,,0.9,Accepted,Rubus,,Rosaceae,tpl;usda, ,
1685,TNRS_Accepted_name,,,,,,Rumex spp,0,0,Rumex spp,Rumex,,0.9,Accepted,Rumex,,Polygonaceae,tpl;usda, ,
1692,TNRS_Accepted_name,,,,,,Samolus spp,0,0,Samolus spp,Samolus,,0.9,Accepted,Samolus,,Primulaceae,tpl;usda, ,
1696,TNRS_Accepted_name,,,,,,Satyrium spp,0,0,Satyrium spp,Satyrium,,0.9,Accepted,Satyrium,,Orchidaceae,tpl, ,
1713,Original,,1,,,,Sebaea sp 2007/193,0,0,Sebaea sp 2007/193,Sebaea,,0.9,Accepted,Sebaea,,Gentianaceae,tpl, ,
1723,TNRS_Accepted_name,,,,,,Selago spp,0,0,Selago spp,Selago,,0.9,Accepted,Selago,,Scrophulariaceae,tpl, ,
1730,TNRS_Accepted_name,,,,,,Senecio elegans (dead),0,0,Senecio elegans (dead),Senecio elegans,,0.9,Accepted,Senecio elegans,L.,Asteraceae,gcc;tropicos;usda, ,urn:lsid:compositae.org:names:4086D3F0-F306-4C6D-BC03-3A8C87CE302F
1750,TNRS_Accepted_name,,,,,,Senecio sp,0,0,Senecio sp,Senecio,,0.9,Accepted,Senecio,,Asteraceae,tpl;usda, ,
1751,TNRS_Accepted_name,,,,,,Senecio spp,0,0,Senecio spp,Senecio,,0.9,Accepted,Senecio,,Asteraceae,tpl;usda, ,
1757,TNRS_Accepted_name,,,,,,Sideroxylem inerve,0,0,Sideroxylem inerve,Sideroxylon inerme,,0.9,Accepted,Sideroxylon inerme,L.,Sapotaceae,tpl;tropicos, ,
1769,TNRS_Accepted_name,,,,,,Silene spp,0,0,Silene spp,Silene,,0.9,Accepted,Silene,,Caryophyllaceae,tpl;usda, ,
1778,TNRS_Accepted_name,,,,,,Solanum sp,0,0,Solanum sp,Solanum,,0.9,Accepted,Solanum,,Solanaceae,tpl, ,
1779,TNRS_Accepted_name,,,,,,Solanum spp,0,0,Solanum spp,Solanum,,0.9,Accepted,Solanum,,Solanaceae,tpl, ,
1789,TNRS_Accepted_name,,,,,,Spiloxene spp,0,0,Spiloxene spp,Spiloxene,,0.9,Accepted,Spiloxene,,Hypoxidaceae,tpl, ,
1800,TNRS_Accepted_name,,,,,,Staberoha sp,0,0,Staberoha sp,Staberoha,,0.9,Accepted,Staberoha,,Restionaceae,tpl, ,
1820,TNRS_Accepted_name,,,,,,Stoebe spp,0,0,Stoebe spp,Stoebe,,0.9,Accepted,Stoebe,L.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:96469ABD-40F1-4761-9B6C-355A0B37E6F6
1821,TNRS_Accepted_name,,,,,,Stoebe vestita,0,0,Stoebe vestita,Stilbe vestita,,0.9,Accepted,Stilbe vestita,Berg.,Stilbaceae,tpl, ,
1828,TNRS_Accepted_name,,,,,,Struthiola ciliata = S.argentium,0,0,Struthiola ciliata = S.argentium,Struthiola ciliata,,0.9,Accepted,Struthiola ciliata,(L.) Lam.,Thymelaeaceae,tpl;tropicos, ,
1832,TNRS_Accepted_name,,,,,,Struthiola sp,0,0,Struthiola sp,Struthiola,,0.9,Accepted,Struthiola,,Thymelaeaceae,tpl, ,
1833,TNRS_Accepted_name,,,,,,Struthiola spp,0,0,Struthiola spp,Struthiola,,0.9,Accepted,Struthiola,,Thymelaeaceae,tpl, ,
1840,TNRS_Accepted_name,,,,,,Sutera sp,0,0,Sutera sp,Sutera,,0.9,Accepted,Sutera,,Scrophulariaceae,tpl, ,
1841,TNRS_Accepted_name,,,,,,Sutera spp,0,0,Sutera spp,Sutera,,0.9,Accepted,Sutera,,Scrophulariaceae,tpl, ,
1842,TNRS_Accepted_name,,,,,,Sutera spp.,0,0,Sutera spp.,Sutera,,0.9,Accepted,Sutera,,Scrophulariaceae,tpl, ,
1848,TNRS_Accepted_name,,,,,,Syncarpha sp,0,0,Syncarpha sp,Syncarpha,,0.9,Accepted,Syncarpha,,Asteraceae,tpl, ,
1849,TNRS_Accepted_name,,,,,,Syncarpha sp (spiciosisima?),0,0,Syncarpha sp (spiciosisima?),Syncarpha,,0.9,Accepted,Syncarpha,,Asteraceae,tpl, ,
1851,TNRS_Accepted_name,,,,,,Syncarpha speciosissima (dead finished),0,0,Syncarpha speciosissima (dead finished),Syncarpha speciosissima,,0.9,Accepted,Syncarpha speciosissima,(L.) B.Nord.,Asteraceae,gcc, ,urn:lsid:compositae.org:names:1438B86A-8BD9-43C6-87B4-9E0DB8BB2786
1872,Original,,1,,,,Tetraria 2007/113,0,0,Tetraria 2007/113,Tetraria,,0.9,Accepted,Tetraria,,Cyperaceae,tpl, ,
1895,TNRS_Accepted_name,,,,,,Tetraria sp,0,0,Tetraria sp,Tetraria,,0.9,Accepted,Tetraria,,Cyperaceae,tpl, ,
1896,Original,,1,,,,Tetraria sp 2007/178,0,0,Tetraria sp 2007/178,Tetraria,,0.9,Accepted,Tetraria,,Cyperaceae,tpl, ,
1897,Original,,1,,,,Tetraria sp 2007/32,0,0,Tetraria sp 2007/32,Tetraria,,0.9,Accepted,Tetraria,,Cyperaceae,tpl, ,
1898,Original,,1,,,,Tetraria sp 2007/396,0,0,Tetraria sp 2007/396,Tetraria,,0.9,Accepted,Tetraria,,Cyperaceae,tpl, ,
1899,TNRS_Accepted_name,,,,,,Tetraria spp,0,0,Tetraria spp,Tetraria,,0.9,Accepted,Tetraria,,Cyperaceae,tpl, ,
1907,Original,,1,,,,Thamnochortus 2007/101,0,0,Thamnochortus 2007/101,Thamnochortus,,0.9,Accepted,Thamnochortus,,Restionaceae,tpl, ,
1908,Original,,1,,,,Thamnochortus 2007/34,0,0,Thamnochortus 2007/34,Thamnochortus,,0.9,Accepted,Thamnochortus,,Restionaceae,tpl, ,
1909,TNRS_Accepted_name,,,,,,Thamnochortus areanarius/lucins,0,0,Thamnochortus areanarius/lucins,Thamnochortus,,0.9,Accepted,Thamnochortus,,Restionaceae,tpl, ,
1911,TNRS_Accepted_name,,,,,,Thamnochortus areanaruis/lucins,0,0,Thamnochortus areanaruis/lucins,Thamnochortus,,0.9,Accepted,Thamnochortus,,Restionaceae,tpl, ,
1922,TNRS_Accepted_name,,,,,,Thamnochortus sp,0,0,Thamnochortus sp,Thamnochortus,,0.9,Accepted,Thamnochortus,,Restionaceae,tpl, ,
1924,TNRS_Accepted_name,,,,,,Thamnochortus spp,0,0,Thamnochortus spp,Thamnochortus,,0.9,Accepted,Thamnochortus,,Restionaceae,tpl, ,
1932,TNRS_Accepted_name,,,,,,Thereianthus spp,0,0,Thereianthus spp,Thereianthus,,0.9,Accepted,Thereianthus,,Iridaceae,tpl, ,
1943,TNRS_Accepted_name,,,,,,Thesium sp,0,0,Thesium sp,Thesium,,0.9,Accepted,Thesium,,Santalaceae,tpl;usda, ,
1944,Original,,1,,,,Thesium sp 2007/176,0,0,Thesium sp 2007/176,Thesium,,0.9,Accepted,Thesium,,Santalaceae,tpl;usda, ,
1945,Original,,1,,,,Thesium sp 2007/182,0,0,Thesium sp 2007/182,Thesium,,0.9,Accepted,Thesium,,Santalaceae,tpl;usda, ,
1946,Original,,1,,,,Thesium sp 2007/229,0,0,Thesium sp 2007/229,Thesium,,0.9,Accepted,Thesium,,Santalaceae,tpl;usda, ,
1947,Original,,1,,,,Thesium sp 2007/23.3,0,0,Thesium sp 2007/23.3,Thesium,,0.9,Accepted,Thesium,,Santalaceae,tpl;usda, ,
1948,TNRS_Accepted_name,,,,,,Thesium sp1,0,0,Thesium sp1,Thesium,,0.9,Accepted,Thesium,,Santalaceae,tpl;usda, ,
1949,TNRS_Accepted_name,,,,,,Thesium spp,0,0,Thesium spp,Thesium,,0.9,Accepted,Thesium,,Santalaceae,tpl;usda, ,
1951,TNRS_Accepted_name,,,,,,Thesium strictum (dead),0,0,Thesium strictum (dead),Thesium strictum,,0.9,Accepted,Thesium strictum,P.J. Bergius,Santalaceae,tpl;tropicos, ,
1969,Original,,1,,,,Trachyandra 2007/182,0,0,Trachyandra 2007/182,Trachyandra,,0.9,Accepted,Trachyandra,,Xanthorrhoeaceae,tpl, ,
1976,TNRS_Accepted_name,,,,,,trachyandra sp,0,0,trachyandra sp,Trachyandra,,0.9,Accepted,Trachyandra,,Xanthorrhoeaceae,tpl, ,
1977,TNRS_Accepted_name,,,,,,Trachyandra sp,0,0,Trachyandra sp,Trachyandra,,0.9,Accepted,Trachyandra,,Xanthorrhoeaceae,tpl, ,
1979,TNRS_Accepted_name,,,,,,Trachyandra sp1 (diff from above?),0,0,Trachyandra sp1 (diff from above?),Trachyandra,,0.9,Accepted,Trachyandra,,Xanthorrhoeaceae,tpl, ,
1980,TNRS_Accepted_name,,,,,,Trachyandra sp2,0,0,Trachyandra sp2,Trachyandra,,0.9,Accepted,Trachyandra,,Xanthorrhoeaceae,tpl, ,
1981,TNRS_Accepted_name,,,,,,Trachyandra spp,0,0,Trachyandra spp,Trachyandra,,0.9,Accepted,Trachyandra,,Xanthorrhoeaceae,tpl, ,
1992,TNRS_Accepted_name,,,,,,Tretreria salvatica,0,0,Tretreria salvatica,Tetraria sylvatica,,0.9,Accepted,Tetraria sylvatica,(Nees) C.B.Clarke,Cyperaceae,tpl, ,
2026,TNRS_Accepted_name,,,,,,Tritoniopsis sp,0,0,Tritoniopsis sp,Tritoniopsis,,0.9,Accepted,Tritoniopsis,,Iridaceae,tpl, ,
