spcID	Status	Origin
Phytolacca_dioica	Alien	iSPOT
Phytolacca_icosandra	Alien	iSPOT
Picris_echioides	Alien	iSPOT
Pinus_halepensis	Alien	iSPOT
Pinus_radiata	Alien	iSPOT
Pinus_roxburghii	Alien	iSPOT
Plantago_bigelovii	Alien	iSPOT
Plantago_coronopus	Alien	iSPOT
Plantago_major	Alien	iSPOT
Poa_annua	Alien	iSPOT
Poa_pratensis	Alien	iSPOT
Podocarpus_elongatus	Alien	iSPOT
Polycarpon_tetraphyllum	Alien	iSPOT
Polygonum_aequale	Alien	iSPOT
Polygonum_aviculare	Alien	iSPOT
Polypogon_monspeliensis	Alien	iSPOT
Polypogon_viridis	Alien	iSPOT
Populus_canescens	Alien	iSPOT
Portulaca_grandiflora	Alien	iSPOT
Portulaca_oleracea	Alien	iSPOT
Potentilla_indica	Alien	iSPOT
Prosopis_velutina	Alien	iSPOT
Protea_aurea	Alien	iSPOT
Protea_burchellii	Alien	iSPOT
Protea_compacta	Alien	iSPOT
Protea_eximia	Alien	iSPOT
Protea_laurifolia	Alien	iSPOT
Protea_magnifica	Alien	iSPOT
Protea_neriifolia	Alien	iSPOT
Protea_susannae	Alien	iSPOT
Prunus_armeniaca	Alien	iSPOT
Prunus_persica	Alien	iSPOT
Pteris_tremula	Alien	iSPOT
Puccinellia_fasciculata	Alien	iSPOT
Pyrus_communis	Alien	iSPOT
Quercus_canariensis	Alien	iSPOT
Quercus_cerris	Alien	iSPOT
Quercus_ilex	Alien	iSPOT
Quercus_palustris	Alien	iSPOT
Ranunculus_muricatus	Alien	iSPOT
Raphanus_sativum	Alien	iSPOT
Rapistrum_rugosum	Alien	iSPOT
Rauvolfia_caffra	Alien	iSPOT
Rivina_humilis	Alien	iSPOT
Rubus_rosifolius	Alien	iSPOT
Rumex_crispus	Alien	iSPOT
Rumex_pulcher	Alien	iSPOT
Sagina_apetala	Alien	iSPOT
Sagina_maritima	Alien	iSPOT
Sagina_procumbens	Alien	iSPOT
Schkuhria_pinnata	Alien	iSPOT
Schoenoplectus_triqueter	Alien	iSPOT
Scleranthus_annuus	Alien	iSPOT
Secale_cereale	Alien	iSPOT
Senecio_angulatus	Alien	iSPOT
Senecio_polyanthemoides	Alien	iSPOT
Senna_multiglandulosa	Alien	iSPOT
Sequoia_sempervirens	Alien	iSPOT
Seseli_annuum	Alien	iSPOT
Setaria_geniculata	Alien	iSPOT
Setaria_sphacelata	Alien	iSPOT
Setaria_verticillata	Alien	iSPOT
Setaria_viridis	Alien	iSPOT
Sida_rhombifolia	Alien	iSPOT
Silene_coeli-rosa	Alien	iSPOT
Silybum_marianum	Alien	iSPOT
Sinapis_alba	Alien	iSPOT
Sinapis_arvensis	Alien	iSPOT
Sisymbrium_officinale	Alien	iSPOT
Sisymbrium_orientale	Alien	iSPOT
Sisyrinchium_angustifolium	Alien	iSPOT
Sisyrinchium_micranthum	Alien	iSPOT
Solanum_aculeastrum	Alien	iSPOT
