"x" "y" "Site" "Altitude" "Geology" "Vegetation" "Aliens" "All_burns" "Burned_2000" "Burned_2005" "Burned_2008" "Burned_2011" "Burned_2012" "Burned_2015" "aspect30m" "dem_remnant_30m" "dem30m" "elevation30m" "indexgrid_landsat_30m" "jan_solar_radiation30m" "jul_solar_radiation30m" "slope30m" "Tmax_jan_mean30m" "Tmin_jul_mean30m" "topographicPositionIndex30m" "veg_communities_cowling_remnant_30m" "veg_communities_cowling30m" "veg_national_remnant_30m" "veg_national30m" "veg_subtypes_remnant_30m" "veg_subtypes30m" "vegtypes"
253940.211576296 6217296.87789472 16 "Low" "Sand" "Fynbos" "No Aliens" "2000" "1" "0" "0" "0" "0" "0" 4.1136679649353 79.0200347900391 79.0200347900391 79.0200347900391 672784 8196.25 2142.5 0.336900800466537 29.0932846069336 10.346851348877 -5.14788198471069 80 80 5 5 9 9 5
253987.224894612 6217165.52352045 17 "Low" "Sand" "Fynbos" "Cleared" "2000" "1" "0" "0" "0" "0" "0" 4.236168384552 74.4369506835938 74.4369506835938 74.4369506835938 676156 8150.08349609375 2371.33325195312 0.402694016695023 29.3497257232666 10.5304193496704 -3.29446887969971 80 80 5 5 9 9 5
255384.516477738 6215774.39796609 18 "Low" "Sand" "Fynbos" "No Aliens" "2000" "1" "0" "0" "0" "0" "0" 3.35173940658569 34.6320915222168 34.6320915222168 34.6320915222168 707206 8919.8330078125 3047 0.0613253153860569 29.1596393585205 10.0410833358765 -17.8321762084961 80 80 5 5 9 9 5
255389.56446783 6215678.94572219 19 "Low" "Sand" "Milkwoods" "No Aliens" "2000" "1" "0" "0" "0" "0" "0" 3.3609447479248 34.6406173706055 34.6406173706055 34.6406173706055 709228 8895.5830078125 3086.41674804688 0.060018215328455 29.0963268280029 10.0539236068726 -13.7252912521362 80 80 5 5 9 9 5
257182.411855605 6228052.3512348 20 "Low" "Granite" "Fynbos" "Cleared" "1978, 1990, 2000, 2015" "1" "0" "0" "0" "0" "1" 4.42418384552002 57.0706100463867 57.0706100463867 57.0706100463867 431600 8271.1669921875 2688.58349609375 0.456234216690063 30.4094696044922 10.7453269958496 -28.266674041748 2 2 19 19 3 3 15
260474.159572952 6211456.4273791 21 "Low" "TMS" "Wetland" "No Aliens" "2000, 2008" "1" "0" "1" "0" "0" "0" 2.1104907989502 70.2303009033203 70.2303009033203 70.2303009033203 804432 8970.75 3237.66674804688 0.0341092944145203 28.5493259429932 9.74887752532959 0.349576890468597 3 3 15 15 11 11 16
258765.562417519 6212155.72272404 22 "Low" "TMS" "Wetland" "No Aliens" "1986, 2000, 2008" "1" "0" "1" "0" "0" "0" 3.63020777702332 11.8279809951782 11.8279809951782 11.8279809951782 788873 8941.1669921875 3145.66674804688 0.0442923232913017 29.3259105682373 10.1715850830078 -18.784423828125 80 80 8 8 16 16 8
259207.457100376 6212305.81819894 23 "Low" "TMS" "Fynbos" "No Aliens" "2000, 2008" "1" "0" "1" "0" "0" "0" 3.53831624984741 55.5022850036621 55.5022850036621 55.5022850036621 785518 8343.6669921875 1749.58337402344 0.325028419494629 29.4589653015137 10.347505569458 -26.6473579406738 3 3 15 15 11 11 16
257721.140773814 6213217.22206741 24 "Low" "TMS" "Fynbos" "Invaded" "2000" "1" "0" "0" "0" "0" "0" 3.76947903633118 29.4705085754395 29.4705085754395 29.4705085754395 764574 8053.75 1680.66662597656 0.426552534103394 29.7940731048584 10.6920948028564 -36.5281600952148 3 3 15 15 9 9 16
257319.189923452 6214097.91612346 25 "Low" "TMS" "Fynbos" "Cleared" "1982, 2000, 2008" "1" "0" "1" "0" "0" "0" 5.60586261749268 86.4582748413086 86.4582748413086 86.4582748413086 745015 8581.0830078125 4258.41650390625 0.474464416503906 30.5452270507812 10.682279586792 -34.0857772827148 80 80 5 5 9 9 5
