spcID	Status	Origin
Cirsium_vulgare_(Savi)_Ten.	Alien	SAPIA
Foeniculum_vulgare_A.W._Hill	Alien	SAPIA
Opuntia_aurantiaca_Lindl.	Alien	SAPIA
Pinus_pinea_L.	Alien	SAPIA
Salix_babylonica_L.	Alien	SAPIA
Acacia_dealbata_Link	Alien	SAPIA
Citrus_limon_(L.)_Burm.f.	Alien	SAPIA
Eucalyptus_sp.	Alien	SAPIA
Ligustrum_lucidum_Ait.	Alien	SAPIA
Acacia_pycnantha_Benth.	Alien	SAPIA
Rubus_sp.	Alien	SAPIA
Ligustrum_sp.	Alien	SAPIA
Morus_alba_L.	Alien	SAPIA
Montanoa_hibiscifolia_Benth.	Alien	SAPIA
Delonix_regia_(Bojer)_Raf.	Alien	SAPIA
Passiflora_sp.	Alien	SAPIA
Ageratum_conyzoides/houstonianum	Alien	SAPIA
Casuarina_equisetifolia_L.	Alien	SAPIA
Pinus_elliottii_Engelm.	Alien	SAPIA
Solanum_seaforthianum_Andr.	Alien	SAPIA
Cardiospermum_grandiflorum/halicacabum	Alien	SAPIA
Cestrum_aurantiacum/laevigatum	Alien	SAPIA
Cortaderia_jubata/selloana	Alien	SAPIA
Hylocereus_undatus_(Haw.)_Britt._&_Rose	Alien	SAPIA
Eichhornia_crassipes_(Mart.)_Solms-Laub.	Alien	SAPIA
Salvinia_molesta_D.S._Mitchell	Alien	SAPIA
Crotalaria_agatiflora_Schweinf._subsp._agatiflora	Alien	SAPIA
Eucalyptus_globulus_Labill.	Alien	SAPIA
Paspalum_dilatatum_Poir.	Alien	SAPIA
Sisyrinchium_sp.	Alien	SAPIA
Sorghum_halepense_(L.)_Pers.	Alien	SAPIA
Solanum_pseudocapsicum_L.	Alien	SAPIA
Acacia_podalyriifolia_A._Cunn.	Alien	SAPIA
Senna_sp.	Alien	SAPIA
Cotoneaster_franchetii/pannosus	Alien	SAPIA
Melilotus_alba_Medik.	Alien	SAPIA
Pyracantha_angustifolia/crenulata	Alien	SAPIA
Glandularia_aristigera_(S.Moore)_Tronc.	Alien	SAPIA
Dolichandra_unguis-cati_(L.)_L.G.Lohmann	Alien	SAPIA
Bidens_pilosa_L.	Alien	SAPIA
Tagetes_minuta_L.	Alien	SAPIA
Alpinia_zerumbet_(Pers.)_B.L._Burtt_&_R.M._Sm.	Alien	SAPIA
Leucaena_leucocephala_(Lam.)_De_Wit	Alien	SAPIA
Litsea_glutinosa_(Lour.)_C.B._Robinson	Alien	SAPIA
Pistia_stratiotes_L.	Alien	SAPIA
Toxicodendron_succedaneum_(L.)_Kuntze	Alien	SAPIA
Agave_sp.	Alien	SAPIA
Prosopis_glandulosa_Torr._var._torreyana_(Benson)_Johnston	Alien	SAPIA
Cotoneaster_franchetii_Bois.	Alien	SAPIA
Datura_sp.	Alien	SAPIA
Pinus_sp.	Alien	SAPIA
Quercus_sp.	Alien	SAPIA
Casuarina_cunninghamiana_Miq.	Alien	SAPIA
Opuntia_stricta_(Haw.)_Haw.	Alien	SAPIA
Opuntia_monacantha_Haw.	Alien	SAPIA
Opuntia_sp.	Alien	SAPIA
Opuntia_robusta_H.L._Wendl.	Alien	SAPIA
Xanthium_sp.	Alien	SAPIA
Atriplex_sp.	Alien	SAPIA
Ailanthus_altissima_(Mill.)_Swingle	Alien	SAPIA
Campuloclinium_macrocephalum_(Less.)_DC.	Alien	SAPIA
Mirabilis_jalapa_L.	Alien	SAPIA
Opuntia_humifusa_(Raf.)_Raf.	Alien	SAPIA
Opuntia_microdasys_(Lehm.)_Pfeiff.	Alien	SAPIA
Albizia_chinensis_(Osbeck)_Merr.	Alien	SAPIA
Quercus_robur_L.	Alien	SAPIA
Tipuana_tipu_(Benth.)_Kuntze	Alien	SAPIA
Euphorbia_pulcherrima_Willd.	Alien	SAPIA
Physalis_peruviana_L.	Alien	SAPIA
Cylindropuntia_fulgida_(Engelm.)_F.M.Knuth	Alien	SAPIA
Flaveria_bidentis_(L.)_Kuntze	Alien	SAPIA
Mangifera_indica_L.	Alien	SAPIA
Musa_sp.	Alien	SAPIA
Tithonia_diversifolia/rotundifolia	Alien	SAPIA
Prunus_persica_(L.)_Batsch	Alien	SAPIA
Argemone_sp.	Alien	SAPIA
Pinus_roxburghii_Sarg.	Alien	SAPIA
Cotoneaster_sp.	Alien	SAPIA
Robinia_pseudoacacia_L.	Alien	SAPIA
Ficus_pumila_L.	Alien	SAPIA
Pinus_elliottii/taeda	Alien	SAPIA
Hylocereus_sp.	Alien	SAPIA
Bryophyllum_delagoense_(Eckl._&_Zeyh.)_Schinz	Alien	SAPIA
Populus_deltoides_Bartr._ex_Marsh.	Alien	SAPIA
Cestrum_sp.	Alien	SAPIA
Heliotropium_amplexicaule_Vahl	Alien	SAPIA
Verbena_brasiliensis_Vell.	Alien	SAPIA
Populus_sp.	Alien	SAPIA
Ageratina_adenophora_(Spreng.)_R.M._King_&_H._Robinson	Alien	SAPIA
Prunus_armeniaca_L.	Alien	SAPIA
Hedychium_sp.	Alien	SAPIA
Pinus_halepensis_Mill.	Alien	SAPIA
Juniperus_virginiana_L.	Alien	SAPIA
Senna_bicapsularis_(L.)_Roxb.	Alien	SAPIA
Canna_sp.	Alien	SAPIA
Malva_parviflora_L.	Alien	SAPIA
Metrosideros_excelsa_Soland._ex_Gaertn.	Alien	SAPIA
Schkuhria_pinnata_(Lam.)_Cabr.	Alien	SAPIA
Senna_obtusifolia_(L.)_Irwin_&_Barneby	Alien	SAPIA
Portulaca_oleracea_L.	Alien	SAPIA
Mimosa_pudica_L.	Alien	SAPIA
Cotoneaster_pannosus_Franch.	Alien	SAPIA
Atriplex_semibaccata_R._Br.	Alien	SAPIA
Pyracantha_coccinea_M.J._Roem.	Alien	SAPIA
Cichorium_intybus_L.	Alien	SAPIA
Agrostemma_githago_L.	Alien	SAPIA
Ambrosia_artemisiifolia_L.	Alien	SAPIA
Solanum_chrysotrichum_Schltdl.	Alien	SAPIA
Achyranthes_aspera_L.	Alien	SAPIA
Alternanthera_pungens_Kunth	Alien	SAPIA
Harrisia_martinii_(Labouret)_Britton	Alien	SAPIA
Opuntia_engelmannii_Salm-Dyck_ex_Engelm.	Alien	SAPIA
Eucalyptus_gomphocephala_A.DC.	Alien	SAPIA
Sesbania_sesban	Alien	SAPIA
Verbena_bonariensis_L.	Alien	SAPIA
Jasminum_humile_L.	Alien	SAPIA
Cotoneaster_coriaceus_Franch.	Alien	SAPIA
Rubus_X_proteus_C.H._Stirton	Alien	SAPIA
Rosa_multiflora_Thunb.	Alien	SAPIA
Rubus_pascuus_Bailey	Alien	SAPIA
Rosa_sp.	Alien	SAPIA
Phytolacca_dioica_L.	Alien	SAPIA
Pinus_taeda_L.	Alien	SAPIA
Opuntia_spinulifera_Salm-Dyck	Alien	SAPIA
Citrus_sp.	Alien	SAPIA
Persea_americana_Mill.	Alien	SAPIA
Sambucus_sp.	Alien	SAPIA
Cupressus_sp.	Alien	SAPIA
Bambusa_balcooa_Roxb._ex_Roxb.	Alien	SAPIA
Caesalpinia_gilliesii_(Wallich._ex_Hook.)_Benth.	Alien	SAPIA
Verbena_bonariensis/brasiliensis	Alien	SAPIA
Punica_granatum_L.	Alien	SAPIA
Jasminum_mesnyi_Hance	Alien	SAPIA
Lonicera_japonica_Thunb._var._Halliana	Alien	SAPIA
Salix_fragilis_L.	Alien	SAPIA
Lemna_sp.	Alien	SAPIA
Azolla_pinnata_R.Br._subsp._asiatica_R.M.K.Saunders_&_K.Fowler	Alien	SAPIA
Momordica_charantia_L.	Alien	SAPIA
Cryptostegia_grandiflora_R._Br.	Alien	SAPIA
Ipomoea_sp.	Alien	SAPIA
Washingtonia_sp.	Alien	SAPIA
Pinus_canariensis_Sweet_ex_K._Spreng.	Alien	SAPIA
Bidens_bipinnata_L.	Alien	SAPIA
Conyza_canadensis_(L.)_Cronq.	Alien	SAPIA
Chamaesyce_prostrata_(Ait.)_Small	Alien	SAPIA
