spcID	IUCN
Chironia_jasminoides	LC
Chironia_linoides	LC
Chironia_melampyrifolia	LC
Chironia_tetragonia	NA
Chloris_gayana	LC
Chlorophytum_capense	LC
Chlorophytum_comosum	LC
Chlorophytum_rangei	LC
Chlorophytum_triflorum	LC
Chondropetalum_deustum	LC
Chondropetalum_ebracteatum	NE
Chondropetalum_hookerianum	NA
Chondropetalum_microcarpum	NE
Chondropetalum_mucronatum	LC
Chondropetalum_nudum	LC
Chondropetalum_rectum	NT
Chondropetalum_tectorum	NE
Chrysanthemoides_incana	LC
Chrysanthemoides_monilifera	LC
Chrysanthemum_carinatum	NA
Chrysanthemum_segetum	NE
Chrysithrix_capensis	NA
Chrysithrix_dodii	NA
Chrysochoma_coma_-_aurea	NA
Cineraria_geifolia	LC
Cineraria_mitellifolia	LC
Cinnamomum_camphora	NE
Cirsium_vulgare	NE
Cissampelos_capensis	LC
Cistus_ladanifer	NA
Citrullus_lanatus	LC
Cladium_mariscus	LC
Cladoraphis_cyperoides	LC
Clematis_brachiata	LC
Clematis_recta	NA
Cleretum_herrei	LC
Cleretum_papulosum	LC
Cliffortia_atrata	LC
Cliffortia_carinata	Rare
Cliffortia_cymbifolia	DDT
Cliffortia_dentata	LC
Cliffortia_discolor	DDT
Cliffortia_dodecandra	LC
Cliffortia_dregeana	EN
Cliffortia_ericifolia	EN
Cliffortia_eriocephalina	LC
Cliffortia_falcata	LC
Cliffortia_ferruginea	LC
Cliffortia_filicaulis	LC
Cliffortia_filifolia	LC
Cliffortia_glauca	LC
Cliffortia_graminea	LC
Cliffortia_hirta	EN
Cliffortia_hybrids	NA
Cliffortia_ilicifolia	Rare
Cliffortia_integerrima	VU
Cliffortia_intermedia	DDT
Cliffortia_juniperina	LC
Cliffortia_marginata	EN
Cliffortia_multiformis	NT
Cliffortia_obcordata	LC
Cliffortia_odorata	LC
Cliffortia_pedunculata	LC
Cliffortia_polygonifolia	LC
Cliffortia_pterocarpa	LC
Cliffortia_ramosissimum	NA
Cliffortia_ruscifolia	Rare
Cliffortia_stricta	LC
Cliffortia_strobilifera	LC
Cliffortia_subsetacea	LC
Cliffortia_theodori_-_friesii	NA
Clutia_alaternoides	LC
Clutia_daphnoides	LC
Clutia_ericoides	LC
Clutia_polygonoides	LC
Clutia_pterogona	LC
Clutia_pubescens	LC
Clutia_pulchella	LC
Coccosperma_hexandrum	LC
Coelanthum_semiquinquefidum	LC
Coleonema_album	LC
Commelina_africana	LC
Commelina_benghalensis	LC
Conicosia_pugioniformis	LC
Convolvulus_arvensis	NE
Convolvulus_farinosus	LC
Convolvulus_sagittatus	LC
Conyza_bonariensis	NE
Conyza_canadensis	NE
Conyza_hybrid	NA
Conyza_pinnata	LC
Conyza_pinnatifida	LC
Conyza_scabrida	LC
Coriandrum_sativum	NE
Coronopus_didymus	NE
Coronopus_squamatus	NE
Corrigiola_capensis	LC
Corrigiola_litoralis	LC
Cortaderia_jubata	NE
Cortaderia_selloana	NE
Corycium_bicolorum	LC
Corycium_bifidum	CR
Corycium_carnosum	LC
Corycium_crispum	LC
Corycium_excisum	LC
Corycium_microglossum	CR
Corycium_orobanchoides	LC
Corymbium_africanum	LC
Corymbium_enerve	LC
Corymbium_glabrum	LC
Cotoneaster_franchetii	NE
Cotoneaster_lacteus	NA
Cotoneaster_pannosus	NE
Cotula_anthemoides	LC
Cotula_coronopifolia	LC
Cotula_eckloniana	EN
Cotula_filifolia	CR
Cotula_hybrid	NA
Cotula_myriophylloides	CR
Cotula_vulgaris	LC
Cotyledon_orbiculata	LC
Crassula_atropurpurea	LC
Crassula_campestris	LC
Crassula_capensis	LC
Crassula_ciliata	LC
Crassula_coccinea	LC
Crassula_cymosa	LC
Crassula_decumbens	LC
Crassula_dejecta	LC
Crassula_dichotoma	LC
Crassula_expansa	LC
Crassula_fallax	LC
Crassula_fascicularis	LC
Crassula_filiformis	LC
Crassula_flava	LC
Crassula_glomerata	LC
Crassula_hybrid_C.pruinosa_x_scabra	NA
Crassula_muscosa	LC
Crassula_natans	LC
Crassula_nudicaulis	LC
Crassula_oblanceolata	LC
Crassula_obtusa	LC
Crassula_papillosa	LC
Crassula_pellucida	LC
Crassula_pruinosa	LC
Crassula_rupestris	LC
Crassula_saxifraga	LC
Crassula_scabra	LC
Crassula_strigosa	LC
Crassula_subulata	LC
Crassula_tetragona	LC
Crassula_thunbergiana	LC
Crassula_tomentosa	LC
Crassula_umbellata	LC
Crassula_vaillantii	NE
Crepidomanes_melanotrichum	LC
Crossyne_guttata	LC
Crotalaria_capensis	LC
Crotalaria_exisa	NA
Cryptadenia_grandiflora	VU
Cryptadenia_uniflora	VU
Cryptomeria_japonica	NE
Cucumis_africanus	LC
Cucumis_myriocarpus	LC
Cullumia_ciliaris	LC
Cullumia_setosa	LC
Cullumia_squarrosa	EN
Cunonia_capensis	LC
Curtisia_dentata	NT
Cuscuta_angulata	LC
Cuscuta_appendiculata	LC
Cuscuta_campestris	NE
Cuscuta_nitida	LC
Cussonia_thyrsiflora	LC
Cyanella_hyacinthoides	LC
Cyathea_capensis	Declining
Cyathea_dregei	LC
Cyathocoma_hexandra	LC
Cyclopia_buxifloia	NA
Cyclopia_capensis	LC
Cyclopia_galioides	LC
Cyclopia_genistoides	LC
Cymbalaria_muralis	NE
Cymbopogon_marginatus	LC
Cynanchum_africanum	LC
Cynanchum_obtusifolium	LC
Cynanchum_zeyheri	LC
Cynodon_dactylon	LC
Cynoglossum_hispidum	LC
Cynosurus_echinatus	NE
Cyperus_denudatus	LC
Cyperus_entrerianus	NA
Cyperus_esculentus	LC
Cyperus_fastigiatus	LC
Cyperus_laevigatus	LC
Cyperus_longus	LC
Cyperus_rotundus	LC
Cyperus_rupestris	LC
Cyperus_sphaerospermus	LC
Cyperus_tenellus	LC
Cyperus_textilis	LC
Cyphia_bulbosa	DDT
Cyphia_campestris	DDT
Cyphia_crenata	LC
Cyphia_dentariifolia	DDT
Cyphia_digitata	LC
Cyphia_incisa	LC
Cyphia_phyteuma	LC
Cyphia_volubilis	LC
Cyphia_zeyheriana	LC
Cyrtanthus_ventricosus	LC
Cysticapnos_cracca	LC
Cysticapnos_vesicarius	NA
Cytinus_capensis	CR_PE
Cytinus_sanguineus	LC
Cytisus_monspessulanus	NA
Dactylis_glomerata	NE
Dasispermum_suffruticosa	NA
Datura_stramonium	NE
Daucus_carota	NE
Delosperma_asperulum	NA
Dianella_tasmanica	NA
Dianthus_albens	LC
Diascia_capensis	LC
Diascia_diffusa	LC
Diascia_elongata	LC
Diascia_sacculata	LC
Diastella_divaricata	Rare
Diastella_proteoides	CR
Dichondra_repens	NE
Didymodoxa_capensis	LC
Digitaria_abyssinica	NA
Digitaria_debilis	LC
Digitaria_diversinervis	LC
Digitaria_eriantha	LC
Digitaria_sanguinalis	NE
Dilatris_corymbosa	LC
Dilatris_pillansii	LC
Dilatris_viscosa	LC
Dimorphotheca_pluvialis	LC
Diosma_demissa	VU
Diosma_hirsuta	LC
Diosma_oppositifolia	LC
Diospyros_glabra	LC
Diospyros_whyteana	LC
Dipcadi_brevifolium	LC
Diplachne_fusca	LC
Diplachne_livida	NA
Diplotaxis_muralis	NE
Dipogon_lignosus	LC
Disa_(Herschelianthe)_forficaria	NA
Disa_atricapilla	LC
Disa_bivalvata	LC
Disa_bodkinii	Rare
Disa_cornuta	LC
Disa_cylindrica	LC
Disa_draconis	EN
Disa_fasciata	LC
Disa_ferruginea	LC
Disa_filicornis	LC
Disa_glandulosa	LC
Disa_lineata	Rare
Disa_longicornu	VU
Disa_maculata	LC
Disa_micropetala	LC
Disa_nubigena	CR
Disa_obtusa	LC
Disa_ocellata	Rare
Disa_oligantha	Rare
Disa_patens	LC
Disa_racemosa	LC
Disa_richardiana	LC
Disa_rosea	LC
Disa_salteri	LC
Disa_telipogonis	LC
Disa_tenella	Rare
Disa_tenuicornis	LC
Disa_tenuifolia	LC
Disa_tenuis	Rare
Disa_uncinata	LC
Disa_uniflora	LC
Disa_vaginata	LC
Disa_venosa	LC
Dischisma_arenarium	LC
Dischisma_capitatum	LC
Dischisma_ciliatum	LC
Discocapnos_mundtii	NA
Disparago_anomala	LC
Disparago_lasiocarpa	LC
Disparago_laxifolia	LC
Disperis_bodkinii	LC
Disperis_bolusiana	LC
Disperis_capensis	LC
Disperis_circumflexa	LC
Disperis_cucullata	NT
Disperis_paludosa	LC
Disperis_villosa	LC
Disphyma_crassifolium	LC
Dittrichia_graveolens	NE
Dodonaea_angustifolia	LC
Dolichos_decumbens	LC
Dorotheanthus_apetalus	VU
Dorotheanthus_bellidiformis	LC
Dorotheanthus_gramineus	VU
Drimia_capensis	LC
Drimia_duthieae	NA
Drimia_elata	DDT
Drimia_exuviata	LC
Drimia_marginata	LC
Drimia_media	LC
Drimia_minor	DDT
Drimia_modesta	LC
Droguetia_ambigua	LC
Droguetia_sp.	NA
Drosanthemum_candens	LC
Drosanthemum_floribundum	LC
Drosanthemum_stokoei	LC
Drosera_aliciae	LC
Drosera_capensis	LC
Drosera_cistiflora	LC
Drosera_cuneifolia	LC
Drosera_glabripes	LC
Drosera_hilaris	LC
Drosera_ramentacea	LC
Drosera_trinervia	LC
Dryopteris_inequalis	NA
Echinochloa_crus-galli	LC
Echinochloa_pyrimidalis	NA
Echium_candicans	NA
Echium_plantagineum	NE
Edmondia_pinifolia	LC
Edmondia_sesamoides	LC
Ehrharta_brevifolia	LC
Ehrharta_bulbosa	LC
Ehrharta_calycina	LC
Ehrharta_capensis	LC
Ehrharta_erecta	LC
Ehrharta_longiflora	LC
Ehrharta_melicoides	LC
Ehrharta_ottonis	LC
Ehrharta_ramosa	LC
Ehrharta_rehmannii	LC
Ehrharta_rupestris	LC
Ehrharta_setacea	LC
Ehrharta_setaceae	NA
Ehrharta_villosa	LC
Eichornia_crassipes	NA
Elaphoglossum_acrostichoides	LC
Elaphoglossum_conforme	LC
Elegia_asperiflora	LC
Elegia_capensis	LC
Elegia_coleura	LC
Elegia_cuspidata	LC
Elegia_fenestrata	VU
Elegia_filacea	LC
Elegia_fistulosa	LC
Elegia_intermedia	DDT
Elegia_juncea	LC
Elegia_neesii	LC
Elegia_prominens	VU
Elegia_racemosa	LC
Elegia_squamosa	LC
Elegia_stipularis	LC
Elegia_thyrsifera	LC
Elegia_vaginulata	LC
Elegia_verrauxii	NA
Eleocharis_lepta	NA
Eleocharis_limosa	LC
Eleocharis_schlechteri	DDT
Eleusine_corocana	NA
Eleusine_indica	LC
Elytropappus_glandulosus	NA
Elytropappus_gnaphaloides	NA
Elytropappus_longifolius	NA
Elytropappus_rhinocerotis	LC
Elytropappus_scaber	NA
Emex_australis	NE
Empodium_plicatum	LC
Epilobium_hirsutum	LC
Epilobium_tetragonium	NA
Epischoenus_adnatus	LC
Epischoenus_gracilis	LC
Epischoenus_quadrangularis	LC
Epischoenus_villosus	LC
Eragrostis_capensis	LC
Eragrostis_curvula	LC
Eragrostis_cyperoides	LC
Eragrostis_echinochloidea	LC
Eragrostis_eliator	NA
Eragrostis_lehmanniana	LC
Eragrostis_sabulosa	LC
Eragrostis_sarmentosa	LC
Eragrostis_subulata	NA
Erepsia_anceps	LC
Erepsia_aspera	LC
Erepsia_bracteata	LC
Erepsia_forficata	Rare
Erepsia_gracilis	LC
Erepsia_patula	VU
Erepsia_promontorii	CR_PE
Erica_abietina	LC
Erica_amoena	Rare
Erica_annectens	VU
Erica_articularis	LC
Erica_baccans	LC
Erica_benthamiana	LC
Erica_blancheana	LC
Erica_blenna	LC
Erica_brachialis	EN
Erica_brevifolia	LC
Erica_bruniades	LC
Erica_caffra	LC
Erica_calycina	LC
Erica_canescens	LC
Erica_capensis	Rare
Erica_capillaris	CR
Erica_capitata	VU
Erica_caterviflora	EN
Erica_cerinthoides	LC
Erica_clavisepala	Rare
Erica_coarctata	LC
Erica_coccinea	LC
Erica_conica	LC
Erica_coriifolia	NA
Erica_crenata	EN
Erica_cristiflora	LC
Erica_curviflora	LC
Erica_curvirostris	LC
Erica_cyrilliflora	EN
Erica_depressa	LC
Erica_diosmifolia	Rare
Erica_distorta	LC
Erica_dodii	LC
Erica_eburnea	Rare
Erica_empetrina	LC
Erica_equisetifolia	LC
Erica_ericoides	LC
Erica_exleeana	LC
Erica_fairii	VU
Erica_fastigiata	DDT
Erica_ferrea	EN
Erica_fontana	Rare
Erica_genistifolia	LC
Erica_gilva	LC
Erica_glabella	LC
Erica_glandulosa	LC
Erica_glutinosa	LC
Erica_gnaphaloides	LC
Erica_haematocodon	Rare
Erica_halicacaba	LC
Erica_heleogena	CR
Erica_hirtiflora	LC
Erica_hispidula	LC
Erica_hybrid	NA
Erica_imbricata	LC
Erica_inops	LC
Erica_labialis	LC
Erica_laeta	LC
Erica_lasciva	LC
Erica_limosa	VU
Erica_lucida	LC
Erica_lutea	LC
Erica_mammosa	LC
Erica_margaritacea	CR
Erica_marifolia	VU
Erica_mauritanica	LC
Erica_mollis	LC
Erica_monadelpha	NA
Erica_multumbellifera	LC
Erica_muscosa	LC
Erica_nevillei	Rare
Erica_nivea	LC
Erica_nudiflora	LC
Erica_obliqua	LC
Erica_obtusata	LC
Erica_oxycoccifolia	LC
Erica_palliiflora	LC
Erica_paludicola	VU
Erica_paniculata	LC
Erica_parviflora	DDT
Erica_parvula	LC
Erica_patersonia	NA
Erica_petiolaris	LC
Erica_peziza	LC
Erica_phylicifolia	LC
Erica_physodes	LC
Erica_pilulifera	VU
Erica_placentiflora	LC
Erica_planifolia	DDT
Erica_plukenetii	LC
Erica_pubescens	DDT
Erica_pulchella	DDT
Erica_pyramidalis	EX
Erica_pyxidiflora	LC
Erica_quadrisulcata	Rare
Erica_salteri	DDT
Erica_sessiliflora	LC
Erica_sexfaria	LC
Erica_sociorum	CR
Erica_speciosa	LC
Erica_spumosa	LC
Erica_strigosa	LC
Erica_subcapitata	LC
Erica_subdivaricata	LC
Erica_tenuifolia	LC
Erica_tenuis	LC
Erica_thimifolia	LC
Erica_transparens	LC
Erica_triflora	LC
Erica_tristis	LC
Erica_turgida	EW
Erica_urceolata	LC
Erica_urna-viridis	Rare
Erica_urticulosa	NA
Erica_velitaris	LC
Erica_versicolor	LC
Erica_verticillata	EW
Erica_viscaria	CR_PE
Eriobotrya_japonica	NA
Eriocephalus_africanus	LC
Eriocephalus_racemosus	LC
Eriospermum_capense	LC
Eriospermum_cernuum	LC
Eriospermum_cordiforme	LC
Eriospermum_lancifolium	NA
Eriospermum_nanum	LC
Eriospermum_pumilum	LC
Eriospermum_spirale	VU
Eriospermum_stoloniferum	VU
Erodium_botrys	NE
Erodium_cicutarium	NE
